" Datos Básicos  - Paro Registrado"
"Datos de: INDICADOR=PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE"
"FAMILIA INDICADOR",,"LABORAL",,,,
"INDICADOR",,"PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE",
,,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,
,"05122 MARTINEZ",           1,           2,           .,           2,
,"05123 MEDIANA DE VOLTOYA",           2,           3,           .,           1,
,"05124 MEDINILLA",           .,           1,           .,           .,
,"05125 MENGAMUÑOZ",           .,           1,           .,           1,
,"05126 MESEGAR DE CORNEJA",           .,           1,           .,           .,
,"05127 MIJARES",           7,          13,           3,          13,
,"05128 MINGORRIA",           1,           5,           1,           7,
,"05129 MIRON (EL)",           .,           .,           1,           .,
,"05130 MIRONCILLO",           2,           1,           .,           1,
,"05131 MIRUEÑA DE LOS INFANZONES",           .,           5,           .,           .,
,"05132 MOMBELTRAN",           7,          21,           3,          15,
,"05133 MONSALUPE",           .,           1,           .,           .,
,"05134 MORALEJA DE MATACABRAS",           .,           .,           1,           .,
,"05135 MUÑANA",           2,          10,           .,           5,
,"05136 MUÑICO",           1,           .,           1,           2,
,"05138 MUÑOGALINDO",           1,           8,           .,           2,
,"05140 MUÑOMER DEL PECO",           .,           1,           .,           2,
,"05142 MUÑOSANCHO",           .,           2,           .,           3,
,"05143 MUÑOTELLO",           1,           1,           .,           .,
,"05144 NARRILLOS DEL ALAMO",           .,           .,           .,           1,
,"05145 NARRILLOS DEL REBOLLAR",           .,           .,           1,           2,
,"05147 NARROS DEL CASTILLO",           .,           2,           .,           1,
,"05149 NARROS DE SALDUEÑA",           1,           1,           .,           2,
,"05151 NAVACEPEDILLA DE CORNEJA",           .,           1,           .,           2,
,"05152 NAVA DE AREVALO",           3,          14,           8,           6,
,"05153 NAVA DEL BARCO",           .,           1,           .,           1,
,"05155 NAVAESCURIAL",           .,           .,           .,           1,
,"05156 NAVAHONDILLA",           .,           1,           .,           .,
,"05157 NAVALACRUZ",           .,           .,           .,           1,
,"05158 NAVALMORAL",           2,           2,           .,           7,
,"05159 NAVALONGUILLA",           .,           6,           .,           5,
,"05160 NAVALOSA",           .,           3,           .,           4,
,"05161 NAVALPERAL DE PINARES",           7,          17,           2,          13,
,"05162 NAVALPERAL DE TORMES",           .,           1,           1,           .,
,"05163 NAVALUENGA",           5,          20,           1,          22,
,"05165 NAVARREDONDA DE GREDOS",           .,           8,           .,           3,
,"05166 NAVARREDONDILLA",           .,           1,           .,           1,
,"05167 NAVARREVISCA",           .,           .,           .,           4,
,"05168 NAVAS DEL MARQUES (LAS)",          27,          50,           4,          37,
,"05169 NAVATALGORDO",           .,           2,           .,           4,
,"05170 NAVATEJARES",           .,           .,           .,           1,
,"05171 NEILA DE SAN MIGUEL",           .,           .,           .,           2,
,"05172 NIHARRA",           2,           1,           1,           .,
,"05173 OJOS-ALBOS",           .,           .,           .,           1,
,"05174 ORBITA",           .,           .,           .,           1,
,"05175 OSO (EL)",           .,           2,           .,           .,
,"05176 PADIERNOS",           .,           6,           .,           2,
,"05177 PAJARES DE ADAJA",           .,           .,           .,           1,
,"05178 PALACIOS DE GODA",           4,           6,           1,           5,
,"05179 PAPATRIGO",           1,           1,           1,           3,
,"05180 PARRAL (EL)",           .,           1,           .,           .,
,"05182 PEDRO BERNARDO",           3,          12,           4,          13,
,"05183 PEDRO-RODRIGUEZ",           .,           2,           .,           1,
,"05184 PEGUERINOS",           .,           .,           .,           2,
,"05185 PEÑALBA DE AVILA",           .,           3,           .,           1,
,"05186 PIEDRAHITA",           .,          28,           2,          11,
,"05187 PIEDRALAVES",          20,          32,           7,          39,
,"05189 POYALES DEL HOYO",           3,          11,           2,          18,
,"05190 POZANCO",           .,           3,           .,           .,
,"05191 PRADOSEGAR",           .,           3,           .,           2,
,"05192 PUERTO CASTILLA",           .,           1,           .,           3,
,"05193 RASUEROS",           1,           6,           .,           .,
,"05194 RIOCABADO",           .,           3,           .,           .,
,"05195 RIOFRIO",           .,           5,           2,           3,
,"05196 RIVILLA DE BARAJAS",           .,           .,           .,           1,
,"05197 SALOBRAL",           1,           1,           .,           2,
,"05201 SAN BARTOLOME DE PINARES",           2,           7,           2,           5,
,"05204 SANCHIDRIAN",           2,          10,           .,           6,
,"05205 SANCHORREJA",           .,           2,           .,           .,
,"05207 SAN ESTEBAN DEL VALLE",           1,          10,           .,          10,
,"05208 SAN ESTEBAN DE ZAPARDIEL",           .,           1,           .,           1,
,"05209 SAN GARCIA DE INGELMOS",           .,           2,           .,           1,
,"05211 SAN JUAN DE LA NAVA",           1,           4,           1,           6,
,"05212 SAN JUAN DEL MOLINILLO",           .,           3,           .,           9,
,"05213 SAN JUAN DEL OLMO",           1,           1,           .,           .,
,"05215 SAN MARTIN DE LA VEGA DEL ALBERCHE",           .,           2,           .,           2,
,"05216 SAN MARTIN DEL PIMPOLLAR",           1,           2,           2,           1,
