" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"09427 VILLADIEGO",           2,          12,
,"09431 VILLAFRANCA MONTES DE OCA",           2,           1,
,"09434 VILLAGONZALO PEDERNALES",           4,           .,
,"09437 VILLAHOZ",           1,           .,
,"09439 VILLALBILLA DE BURGOS",           2,           .,
,"09440 VILLALBILLA DE GUMIEL",           .,           1,
,"09442 VILLALMANZO",           1,           2,
,"09443 VILLAMAYOR DE LOS MONTES",           .,           1,
,"09447 VILLAMIEL DE LA SIERRA",           .,           1,
,"09449 VILLANUEVA DE ARGAÑO",           2,           1,
,"09450 VILLANUEVA DE CARAZO",           .,           2,
,"09451 VILLANUEVA DE GUMIEL",           .,           1,
,"09454 VILLANUEVA DE TEBA",           .,           1,
,"09456 VILLAQUIRAN DE LOS INFANTES",           1,           .,
,"09460 VILLASANDINO",           .,           1,
,"09463 VILLASUR DE HERREROS",           .,           2,
,"09483 ZAZUAR",           .,           3,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           .,           3,
,"09902 VALLE DE SANTIBAÑEZ",           1,           2,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",           6,          11,
,"09905 VALLE DE SEDANO",           .,          12,
,"09906 MERINDAD DE RIO UBIERNA",           4,           2,
,"09907 ALFOZ DE QUINTANADUEÑAS",           1,           1,
,"09908 VALLE DE LOSA",           1,           3,
,"24001 ACEBEDO",           .,           2,
,"24003 ALIJA DEL INFANTADO",           1,           1,
,"24004 ALMANZA",           1,           .,
,"24006 ARDON",           3,           .,
,"24007 ARGANZA",           .,           4,
,"24008 ASTORGA",          16,           9,
,"24009 BALBOA",           1,           2,
,"24010 BAÑEZA (LA)",          12,           .,
,"24011 BARJAS",           .,           4,
,"24012 BARRIOS DE LUNA (LOS)",           1,           2,
,"24014 BEMBIBRE",           3,           5,
,"24015 BENAVIDES",           1,           .,
,"24016 BENUZA",           .,           1,
,"24017 BERCIANOS DEL PARAMO",           1,           .,
,"24018 BERCIANOS DEL REAL CAMINO",           1,           .,
,"24019 BERLANGA DEL BIERZO",           .,           1,
,"24020 BOCA DE HUERGANO",           4,           7,
,"24021 BOÑAR",           5,           9,
,"24022 BORRENES",           2,           7,
,"24023 BRAZUELO",           3,           3,
,"24024 BURGO RANERO (EL)",           2,           2,
,"24025 BURON",           1,           5,
,"24029 CABRILLANES",           4,          12,
,"24030 CACABELOS",           5,           6,
,"24034 CAMPONARAYA",           1,           .,
,"24036 CANDIN",           .,           8,
,"24037 CARMENES",           2,           .,
,"24038 CARRACEDELO",           3,           6,
,"24039 CARRIZO",           2,           4,
,"24040 CARROCERA",           3,          13,
,"24041 CARUCEDO",           3,           4,
,"24043 CASTRILLO DE CABRERA",           .,           1,
,"24044 CASTRILLO DE LA VALDUERNA",           .,           1,
,"24047 CASTROCONTRIGO",           2,           2,
,"24051 CEA",           .,           1,
,"24055 CIMANES DEL TEJAR",           .,           4,
,"24056 CISTIERNA",           6,           2,
,"24057 CONGOSTO",           2,           2,
,"24059 CORULLON",           .,           1,
,"24060 CREMENES",           2,           9,
,"24063 CUBILLAS DE RUEDA",           1,           .,
,"24064 CUBILLOS DEL SIL",           2,           .,
,"24066 DESTRIANA",           .,           2,
,"24067 ENCINEDO",           3,           2,
,"24068 ERCINA (LA)",           .,           3,
,"24070 FABERO",           2,           4,
,"24071 FOLGOSO DE LA RIBERA",           .,           3,
,"24074 FUENTES DE CARBAJAL",           .,           1,
,"24076 GARRAFE DE TORIO",           .,           6,
,"24078 GORDONCILLO",           .,           2,
,"24082 HOSPITAL DE ORBIGO",           5,           2,
,"24083 IGÜEÑA",           .,           6,
,"24088 LAGUNA DE NEGRILLOS",           1,           .,
,"24089 LEON",          61,           .,
,"24090 LUCILLO",           .,           1,
,"24091 LUYEGO",           .,           7,
,"24093 MAGAZ DE CEPEDA",           .,           2,
,"24094 MANSILLA DE LAS MULAS",           6,           3,
,"24095 MANSILLA MAYOR",           .,           1,
,"24098 MATALLANA DE TORIO",           .,           2,
,"24100 MOLINASECA",           4,          13,
,"24101 MURIAS DE PAREDES",           1,           5,
,"24102 NOCEDA DEL BIERZO",           .,          10,
,"24103 OENCIA",           .,           2,
,"24105 ONZONILLA",           3,           .,
,"24106 OSEJA DE SAJAMBRE",           1,          11,
,"24107 PAJARES DE LOS OTEROS",           1,           .,
,"24108 PALACIOS DE LA VALDUERNA",           .,           1,
,"24109 PALACIOS DEL SIL",           .,           3,
,"24110 PARAMO DEL SIL",           .,           5,
,"24114 POLA DE GORDON (LA)",           3,           5,
,"24115 PONFERRADA",          31,          37,
,"24116 POSADA DE VALDEON",           9,          12,
,"24118 PRADO DE LA GUZPEÑA",           .,           3,
,"24119 PRIARANZA DEL BIERZO",           .,           4,
,"24120 PRIORO",           .,           2,
,"24121 PUEBLA DE LILLO",           8,          11,
,"24122 PUENTE DE DOMINGO FLOREZ",           2,           2,
,"24123 QUINTANA DEL CASTILLO",           .,           3,
,"24129 REYERO",           .,           1,
,"24130 RIAÑO",           3,           3,
,"24131 RIEGO DE LA VEGA",           2,           .,
,"24132 RIELLO",           1,          15,
,"24133 RIOSECO DE TAPIA",           .,           1,
,"24134 ROBLA (LA)",           3,           4,
,"24136 ROPERUELOS DEL PARAMO",           1,           .,
,"24139 SAHAGUN",          10,           3,
,"24142 SAN ANDRES DEL RABANEDO",           8,           .,
,"24143 SANCEDO",           .,           2,
,"24144 SAN CRISTOBAL DE LA POLANTERA",           .,           1,
,"24145 SAN EMILIANO",           3,          14,
,"24148 SAN JUSTO DE LA VEGA",           2,           1,
,"24149 SAN MILLAN DE LOS CABALLEROS",           1,           .,
,"24151 SANTA COLOMBA DE CURUEÑO",           1,           1,
,"24152 SANTA COLOMBA DE SOMOZA",           3,           9,
,"24153 SANTA CRISTINA DE VALMADRIGAL",           1,           .,
,"24154 SANTA ELENA DE JAMUZ",           .,           3,
,"24155 SANTA MARIA DE LA ISLA",           .,           2,
,"24156 SANTA MARIA DEL MONTE DE CEA",           .,           3,
,"24157 SANTA MARIA DEL PARAMO",           2,           .,
,"24158 SANTA MARIA DE ORDAS",           .,           4,
,"24159 SANTA MARINA DEL REY",           2,           2,
,"24160 SANTAS MARTAS",           1,           1,
,"24161 SANTIAGO MILLAS",           .,           5,
,"24162 SANTOVENIA DE LA VALDONCINA",           .,           1,
,"24163 SARIEGOS",           1,           .,
,"24164 SENA DE LUNA",           3,           2,
,"24165 SOBRADO",           .,           1,
,"24166 SOTO DE LA VEGA",           1,           1,
,"24167 SOTO Y AMIO",           1,           4,
,"24169 TORENO",           1,           6,
,"24170 TORRE DEL BIERZO",           1,           4,
,"24171 TRABADELO",           1,           4,
,"24172 TRUCHAS",           .,           2,
,"24173 TURCIA",           .,           1,
,"24175 VALDEFRESNO",           1,           2,
,"24177 VALDELUGUEROS",           .,           4,
,"24179 VALDEPIELAGO",           .,           7,
,"24180 VALDEPOLO",           1,           .,
,"24181 VALDERAS",           3,           1,
,"24182 VALDERREY",           .,           1,
,"24183 VALDERRUEDA",           2,           7,
,"24184 VALDESAMARIO",           .,           1,
,"24185 VAL DE SAN LORENZO",           .,           2,
,"24187 VALDEVIMBRE",           .,           1,
,"24188 VALENCIA DE DON JUAN",           9,           .,
,"24189 VALVERDE DE LA VIRGEN",           6,           1,
,"24191 VALLECILLO",           .,           2,
,"24193 VECILLA (LA)",           1,           .,
,"24194 VEGACERVERA",           1,           5,
,"24196 VEGA DE ESPINAREDA",           4,          32,
,"24198 VEGA DE VALCARCE",           3,           6,
,"24199 VEGAQUEMADA",           1,           2,
,"24201 VEGAS DEL CONDADO",           1,           5,
,"24202 VILLABLINO",          16,          11,
,"24205 VILLADANGOS DEL PARAMO",           4,           .,
,"24206 TORAL DE LOS VADOS",           2,           4,
,"24209 VILLAFRANCA DEL BIERZO",           9,           7,
,"24210 VILLAGATON",           .,           4,
,"24212 VILLAMAÑAN",           2,           .,
,"24214 VILLAMEJIL",           .,           1,
,"24215 VILLAMOL",           .,           1,
,"24216 VILLAMONTAN DE LA VALDUERNA",           .,           1,
,"24218 VILLANUEVA DE LAS MANZANAS",           .,           1,
,"24219 VILLAOBISPO DE OTERO",           .,           1,
,"24221 VILLAQUEJIDA",           1,           .,
,"24222 VILLAQUILAMBRE",           3,           .,
,"24223 VILLAREJO DE ORBIGO",           3,           1,
,"24225 VILLASABARIEGO",           3,           .,
,"24226 VILLASELAN",           .,           1,
,"24229 VILLAZANZO DE VALDERADUEY",           .,           2,
,"24901 VILLAMANIN",           4,           6,
,"34004 AGUILAR DE CAMPOO",           7,          40,
,"34005 ALAR DEL REY",           4,           4,
,"34009 AMAYUELAS DE ARRIBA",           .,           1,
,"34010 AMPUDIA",           1,           7,
,"34012 ANTIGÜEDAD",           .,           1,
,"34017 ASTUDILLO",           1,           5,
,"34018 AUTILLA DEL PINO",           .,           1,
,"34019 AUTILLO DE CAMPOS",           .,           2,
,"34022 BALTANAS",           1,           3,
,"34023 VENTA DE BAÑOS",           3,           1,
,"34025 BARCENA DE CAMPOS",           .,           1,
,"34027 BARRUELO DE SANTULLAN",           .,          11,
,"34028 BASCONES DE OJEDA",           1,           .,
,"34029 BECERRIL DE CAMPOS",           .,           2,
,"34032 BERZOSILLA",           .,           1,
,"34034 BOADILLA DEL CAMINO",           .,           1,
,"34036 BRAÑOSERA",           1,           7,
,"34037 BUENAVISTA DE VALDAVIA",           1,           1,
,"34047 CARRION DE LOS CONDES",           6,           2,
,"34049 CASTREJON DE LA PEÑA",           .,          13,
,"34055 CERVATOS DE LA CUEZA",           1,           .,
,"34056 CERVERA DE PISUERGA",           8,          18,
,"34058 CEVICO NAVERO",           .,           1,
,"34069 DUEÑAS",           4,           1,
,"34074 FROMISTA",           6,           4,
,"34076 FUENTES DE NAVA",           .,           3,
,"34080 GUARDO",           4,           .,
,"34083 HERRERA DE PISUERGA",           2,           3,
,"34084 HERRERA DE VALDECAÑAS",           .,           1,
,"34089 ITERO DE LA VEGA",           1,           .,
,"34098 MAGAZ DE PISUERGA",           3,           .,
,"34101 MARCILLA DE CAMPOS",           .,           1,
,"34104 MELGAR DE YUSO",           .,           2,
,"34108 MONZON DE CAMPOS",           1,           1,
,"34109 MORATINOS",           1,           .,
,"34110 MUDA",           .,           3,
,"34114 OLMOS DE OJEDA",           .,           3,
,"34120 PALENCIA",          18,           .,
,"34121 PALENZUELA",           .,           1,
,"34123 PAREDES DE NAVA",           3,           3,
,"34129 PINO DEL RIO",           .,           2,
,"34130 PIÑA DE CAMPOS",           .,           1,
,"34132 POBLACION DE CAMPOS",           .,           2,
,"34134 POLENTINOS",           .,           1,
,"34135 POMAR DE VALDIVIA",           .,          11,
,"34139 PRADANOS DE OJEDA",           .,           1,
,"34141 QUINTANA DEL PUENTE",           3,           .,
,"34146 REINOSO DE CERRATO",           1,           1,
,"34147 RENEDO DE LA VEGA",           .,           1,
,"34151 RESPENDA DE LA PEÑA",           .,           3,
,"34152 REVENGA DE CAMPOS",           .,           2,
,"34155 RIBAS DE CAMPOS",           .,           1,
,"34157 SALDAÑA",           7,           7,
,"34158 SALINAS DE PISUERGA",           .,           5,
,"34160 SAN CEBRIAN DE MUDA",           .,           4,
,"34161 SAN CRISTOBAL DE BOEDO",           .,           1,
,"34169 SANTERVAS DE LA VEGA",           1,           2,
,"34170 SANTIBAÑEZ DE ECLA",           .,           2,
,"34171 SANTIBAÑEZ DE LA PEÑA",           .,           6,
,"34174 SANTOYO",           .,           1,
,"34175 SERNA (LA)",           .,           2,
,"34176 SOTOBAÑADO Y PRIORATO",           .,           1,
,"34177 SOTO DE CERRATO",           .,           1,
,"34180 TAMARA DE CAMPOS",           .,           3,
,"34182 TORQUEMADA",           3,           1,
,"34185 TRIOLLO",           1,           6,
,"34199 VELILLA DEL RIO CARRION",           7,          10,
,"34206 VILLADA",           1,           1,
,"34211 VILLAHERREROS",           1,           2,
,"34215 VILLALCAZAR DE SIRGA",           2,           3,
,"34216 VILLALCON",           .,           1,
,"34217 VILLALOBON",           .,           1,
,"34218 VILLALUENGA DE LA VEGA",           .,           3,
,"34220 VILLAMARTIN DE CAMPOS",           .,           1,
,"34223 VILLAMORONTA",           .,           1,
,"34225 VILLAMURIEL DE CERRATO",           1,           .,
,"34228 VILLANUÑO DE VALDAVIA",           .,           1,
,"34230 VILLARMENTERO DE CAMPOS",           .,           1,
,"34232 VILLARRAMIEL",           1,           1,
,"34242 VILLODRIGO",           2,           2,
,"34243 VILLOLDO",           2,           .,
,"34245 VILLOTA DEL PARAMO",           .,           2,
,"34901 OSORNO LA MAYOR",           4,           .,
,"34903 LOMA DE UCIEZA",           .,           1,
,"34904 PERNIA (LA)",           3,           6,
,"37002 AGALLAS",           .,           2,
,"37003 AHIGAL DE LOS ACEITEROS",           .,           1,
,"37006 ALAMEDILLA (LA)",           .,           1,
,"37007 ALARAZ",           1,           .,
,"37008 ALBA DE TORMES",           4,           1,
,"37010 ALBERCA (LA)",          11,          16,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",           .,           1,
,"37014 ALDEADAVILA DE LA RIBERA",           3,          11,
,"37015 ALDEA DEL OBISPO",           .,           1,
,"37016 ALDEALENGUA",           .,           1,
,"37018 ALDEANUEVA DE LA SIERRA",           .,           1,
,"37020 ALDEARRUBIA",           .,           3,
,"37023 ALDEATEJADA",           .,           1,
,"37026 ALDEHUELA DE YELTES",           .,           1,
,"37027 ALMENARA DE TORMES",           1,           .,
,"37029 ANAYA DE ALBA",           .,           1,
,"37030 AÑOVER DE TORMES",           .,           1,
,"37033 ARCEDIANO",           .,           2,
,"37036 SAN MIGUEL DEL ROBLEDO",           .,           6,
,"37037 ATALAYA (LA)",           .,           2,
,"37038 BABILAFUENTE",           2,           .,
,"37039 BAÑOBAREZ",           .,           1,
,"37044 BARRUECOPARDO",           .,           2,
,"37045 BASTIDA (LA)",           .,           1,
,"37046 BEJAR",          12,          11,
,"37047 BELEÑA",           .,           2,
,"37049 BERMELLAR",           .,           4,
,"37054 BODON (EL)",           .,           2,
,"37055 BOGAJO",           .,           1,
,"37056 BOUZA (LA)",           .,           1,
,"37060 BUENAVISTA",           .,           1,
,"37061 CABACO (EL)",           4,           1,
,"37063 CABEZA DE BEJAR (LA)",           1,           .,
,"37065 CABEZA DEL CABALLO",           .,           2,
,"37069 CALVARRASA DE ABAJO",           3,           1,
,"37070 CALVARRASA DE ARRIBA",           .,           1,
,"37071 CALZADA DE BEJAR (LA)",           .,           9,
,"37073 CALZADA DE VALDUNCIEL",           2,           1,
,"37074 CAMPILLO DE AZABA",           .,           2,
,"37078 CANDELARIO",           7,          24,
,"37080 CANTAGALLO",           .,           6,
,"37081 CANTALAPIEDRA",           1,           .,
,"37088 CARRASCAL DEL OBISPO",           .,           1,
,"37089 CASAFRANCA",           .,           1,
,"37090 CASAS DEL CONDE (LAS)",           .,           2,
,"37091 CASILLAS DE FLORES",           .,           1,
,"37098 CEPEDA",           1,          14,
,"37102 CERRO (EL)",           .,           2,
,"37107 CIUDAD RODRIGO",          22,          29,
,"37108 COCA DE ALBA",           .,           2,
,"37112 CRISTOBAL",           .,           1,
,"37114 CHAGARCIA MEDIANERO",           .,           1,
,"37119 ENCINA (LA)",           .,           1,
,"37121 ENCINAS DE ABAJO",           .,           1,
,"37124 ENDRINAL",           .,           2,
,"37127 ESPEJA",           2,           2,
,"37130 FORFOLEDA",           .,           2,
,"37131 FRADES DE LA SIERRA",           .,           1,
,"37132 FREGENEDA (LA)",           .,           4,
,"37133 FRESNEDOSO",           1,           .,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           4,           2,
,"37136 FUENTEGUINALDO",           .,           5,
,"37137 FUENTELIANTE",           .,           3,
,"37138 FUENTERROBLE DE SALVATIERRA",           .,           4,
,"37139 FUENTES DE BEJAR",           .,           2,
,"37140 FUENTES DE OÑORO",           2,           1,
,"37142 GALINDO Y PERAHUY",           1,           1,
,"37143 GALINDUSTE",           .,           2,
,"37147 GARCIBUEY",           .,           6,
,"37152 GOMECELLO",           .,           1,
,"37155 GUIJO DE AVILA",           .,           1,
,"37156 GUIJUELO",           2,           1,
,"37158 HERGUIJUELA DE LA SIERRA",           1,           2,
,"37160 HINOJOSA DE DUERO",           1,           2,
,"37161 HORCAJO DE MONTEMAYOR",           1,           .,
,"37162 HORCAJO MEDIANERO",           1,           4,
,"37163 HOYA (LA)",           .,           9,
,"37164 HUERTA",           .,           1,
,"37167 JUZBADO",           .,           1,
,"37168 LAGUNILLA",           .,           3,
,"37170 LEDESMA",           4,           4,
,"37172 LINARES DE RIOFRIO",           .,           9,
,"37173 LUMBRALES",           1,           4,
,"37174 MACOTERA",           .,           1,
,"37176 MADROÑAL",           .,           4,
,"37177 MAILLO (EL)",           .,           2,
,"37179 MANCERA DE ABAJO",           .,           1,
,"37180 MANZANO (EL)",           .,           2,
,"37181 MARTIAGO",           .,           4,
,"37182 MARTINAMOR",           1,           4,
,"37184 MASUECO",           1,           4,
,"37187 MATILLA DE LOS CAÑOS DEL RIO",           .,           1,
,"37188 MAYA (LA)",           .,           1,
,"37190 MIEZA",           .,           1,
,"37193 MIRANDA DEL CASTAÑAR",           3,          19,
,"37194 MOGARRAZ",           2,           9,
,"37196 MONFORTE DE LA SIERRA",           .,           1,
,"37197 MONLEON",           .,           2,
,"37199 MONSAGRO",           .,           3,
,"37201 MONTEMAYOR DEL RIO",           1,           3,
,"37205 MORILLE",           .,           1,
,"37207 MORISCOS",           .,           1,
,"37208 MORONTA",           .,           1,
,"37209 MOZARBEZ",           1,           1,
,"37211 NARROS DE MATALAYEGUA",           .,           5,
,"37212 NAVACARROS",           .,           6,
,"37213 NAVA DE BEJAR",           .,           1,
,"37217 NAVALMORAL DE BEJAR",           .,           1,
,"37221 NAVASFRIAS",           1,           5,
,"37225 PAJARES DE LA LAGUNA",           1,           .,
,"37226 PALACIOS DEL ARZOBISPO",           .,           2,
,"37230 PARADA DE ARRIBA",           .,           1,
,"37231 PARADA DE RUBIALES",           1,           .,
,"37233 PASTORES",           .,           4,
,"37234 PAYO (EL)",           .,           1,
,"37238 PEDROSILLO EL RALO",           2,           1,
,"37240 PELABRAVO",           3,           1,
,"37242 PELAYOS",           .,           2,
,"37244 PEÑACABALLERA",           .,           5,
,"37245 PEÑAPARDA",           .,           2,
,"37246 PEÑARANDA DE BRACAMONTE",           5,           .,
,"37250 PEREÑA DE LA RIBERA",           .,           3,
,"37252 PINEDAS",           .,           1,
,"37257 POZOS DE HINOJO",           .,           2,
,"37258 PUEBLA DE AZABA",           .,           1,
,"37261 PUENTE DEL CONGOSTO",           1,           4,
,"37263 PUERTO DE BEJAR",           1,           9,
,"37267 RETORTILLO",           1,           2,
,"37268 RINCONADA DE LA SIERRA (LA)",           .,           2,
,"37269 ROBLEDA",           2,           1,
,"37272 SAELICES EL CHICO",           .,           1,
,"37274 SALAMANCA",         104,           .,
,"37275 SALDEANA",           .,           1,
,"37277 SALVATIERRA DE TORMES",           .,           1,
,"37279 SANCTI-SPIRITUS",           3,           3,
,"37283 SANDO",           .,           1,
,"37284 SAN ESTEBAN DE LA SIERRA",           .,          12,
,"37285 SAN FELICES DE LOS GALLEGOS",           .,           5,
,"37286 SAN MARTIN DEL CASTAÑAR",           1,          10,
,"37287 SAN MIGUEL DE VALERO",           1,           5,
,"37290 SAN PEDRO DEL VALLE",           .,           1,
,"37291 SAN PEDRO DE ROZADOS",           .,           2,
,"37292 SAN PELAYO DE GUAREÑA",           .,           1,
,"37293 SANTA MARIA DE SANDO",           .,           1,
,"37294 SANTA MARTA DE TORMES",           8,           .,
,"37296 SANTIAGO DE LA PUEBLA",           .,           1,
,"37298 SANTIBAÑEZ DE LA SIERRA",           .,           1,
,"37299 SANTIZ",           .,           1,
,"37300 SANTOS (LOS)",           .,           6,
,"37302 SAUCELLE",           2,           6,
,"37305 SEQUEROS",           1,          18,
,"37306 SERRADILLA DEL ARROYO",           .,           3,
,"37307 SERRADILLA DEL LLANO",           .,           4,
,"37309 SIERPE (LA)",           .,           2,
,"37311 SOBRADILLO",           .,           2,
,"37312 SORIHUELA",           .,           2,
,"37313 SOTOSERRANO",           1,          13,
,"37316 TAMAMES",           1,           1,
,"37321 TENEBRON",           .,           1,
,"37322 TERRADILLOS",           .,           1,
,"37323 TOPAS",           .,           1,
,"37325 TORNADIZO (EL)",           .,           1,
,"37327 TORRESMENUDAS",           .,           1,
,"37328 TRABANCA",           .,           2,
,"37331 VALDEFUENTES DE SANGUSIN",           .,           2,
,"37336 VALDEMIERQUE",           .,           1,
,"37339 VALERO",           .,           1,
,"37340 VALSALABROSO",           .,           1,
,"37341 VALVERDE DE VALDELACASA",           .,           1,
,"37342 VALVERDON",           1,           .,
,"37343 VALLEJERA DE RIOFRIO",           1,           .,
,"37344 VECINOS",           1,           1,
,"37345 VEGA DE TIRADOS",           1,           2,
,"37346 VEGUILLAS (LAS)",           .,           2,
,"37347 VELLES (LA)",           .,           2,
,"37348 VENTOSA DEL RIO ALMAR",           1,           .,
,"37350 VILVESTRE",           .,           3,
,"37352 VILLAGONZALO DE TORMES",           .,           1,
,"37354 VILLAMAYOR",           2,           .,
,"37355 VILLANUEVA DEL CONDE",           1,          22,
,"37356 VILLAR DE ARGAÑAN",           .,           1,
,"37357 VILLAR DE CIERVO",           .,           3,
,"37359 VILLAR DE LA YEGUA",           .,           3,
,"37360 VILLAR DE PERALONSO",           1,           .,
,"37362 VILLARES DE LA REINA",           5,           .,
,"37363 VILLARES DE YELTES",           .,           3,
,"37364 VILLARINO DE LOS AIRES",           1,           4,
,"37370 VILLASECO DE LOS REYES",           .,           2,
,"37371 VILLASRUBIAS",           .,           1,
,"37373 VILLAVIEJA DE YELTES",           1,           2,
,"37374 VILLORIA",           1,           2,
,"37376 VITIGUDINO",           3,           3,
,"37377 YECLA DE YELTES",           .,           2,
,"37379 ZAMAYON",           .,           1,
,"37380 ZARAPICOS",           .,           3,
,"37381 ZARZA DE PUMAREDA (LA)",           .,           1,
,"40001 ABADES",           1,           1,
,"40002 ADRADA DE PIRON",           .,           1,
,"40003 ADRADOS",           .,           1,
,"40004 AGUILAFUENTE",           2,           5,
,"40007 ALDEALENGUA DE PEDRAZA",           .,           1,
,"40008 ALDEALENGUA DE SANTA MARIA",           .,           1,
,"40009 ALDEANUEVA DE LA SERREZUELA",           .,           1,
,"40013 ALDEASOÑA",           .,           2,
,"40019 ARAHUETES",           .,           1,
,"40020 ARCONES",           2,           8,
,"40021 AREVALILLO DE CEGA",           .,           1,
,"40022 ARMUÑA",           .,           3,
,"40024 AYLLON",           5,          14,
,"40026 BASARDILLA",           .,           1,
,"40030 BERNARDOS",           1,           6,
,"40031 BERNUY DE PORREROS",           .,           5,
,"40032 BOCEGUILLAS",           2,           2,
,"40033 BRIEVA",           .,           3,
,"40034 CABALLAR",           .,           4,
,"40035 CABAÑAS DE POLENDOS",           .,           6,
,"40036 CABEZUELA",           1,           1,
,"40037 CALABAZAS DE FUENTIDUEÑA",           .,           1,
,"40039 CAMPO DE SAN PEDRO",           .,           3,
,"40040 CANTALEJO",           4,           1,
,"40043 CARBONERO EL MAYOR",           1,           .,
,"40044 CARRASCAL DEL RIO",           1,           8,
,"40045 CASLA",           .,           8,
,"40046 CASTILLEJO DE MESLEON",           1,           2,
,"40047 CASTRO DE FUENTIDUEÑA",           .,           2,
,"40048 CASTROJIMENO",           .,           1,
,"40049 CASTROSERNA DE ABAJO",           1,           2,
,"40051 CASTROSERRACIN",           .,           1,
,"40052 CEDILLO DE LA TORRE",           .,           3,
,"40053 CEREZO DE ABAJO",           1,           1,
,"40054 CEREZO DE ARRIBA",           2,           .,
,"40057 COCA",           1,           5,
,"40058 CODORNIZ",           .,           1,
,"40059 COLLADO HERMOSO",           .,           3,
,"40060 CONDADO DE CASTILNOVO",           1,           2,
,"40061 CORRAL DE AYLLON",           .,           3,
,"40062 CUBILLO",           .,           4,
,"40063 CUELLAR",           5,           6,
,"40065 CHAÑE",           .,           2,
,"40068 DOMINGO GARCIA",           .,           1,
,"40070 DURUELO",           .,           2,
,"40072 ENCINILLAS",           .,           1,
,"40074 ESCARABAJOSA DE CABEZAS",           .,           3,
,"40075 ESCOBAR DE POLENDOS",           .,           7,
,"40076 ESPINAR (EL)",           8,           3,
,"40077 ESPIRDO",           1,           6,
,"40078 FRESNEDA DE CUELLAR",           .,           2,
,"40079 FRESNO DE CANTESPINO",           1,           1,
,"40083 FUENTE EL OLMO DE FUENTIDUEÑA",           .,           1,
,"40086 FUENTEPELAYO",           .,           3,
,"40088 FUENTERREBOLLO",           .,           2,
,"40089 FUENTESAUCO DE FUENTIDUEÑA",           2,           2,
,"40092 FUENTIDUEÑA",           .,           5,
,"40093 GALLEGOS",           .,           2,
,"40095 GOMEZSERRACIN",           .,           1,
,"40097 GRAJERA",           1,           4,
,"40099 HONRUBIA DE LA CUESTA",           1,           .,
,"40100 HONTALBILLA",           .,           1,
,"40104 ITUERO Y LAMA",           .,           1,
,"40105 JUARROS DE RIOMOROS",           .,           3,
,"40106 JUARROS DE VOLTOYA",           .,           1,
,"40107 LABAJOS",           3,           .,
,"40108 LAGUNA DE CONTRERAS",           .,           1,
,"40110 LASTRAS DE CUELLAR",           .,           1,
,"40112 LASTRILLA (LA)",           9,           1,
,"40115 MADERUELO",           1,           5,
,"40118 MARAZUELA",           .,           1,
,"40119 MARTIN MIGUEL",           .,           2,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",           1,           1,
,"40122 MARUGAN",           1,           2,
,"40123 MATABUENA",           .,           6,
,"40125 MATILLA (LA)",           .,           3,
,"40126 MELQUE DE CERCOS",           .,           1,
,"40127 MEMBIBRE DE LA HOZ",           .,           1,
,"40128 MIGUELAÑEZ",           .,           5,
,"40129 MONTEJO DE AREVALO",           .,           1,
,"40130 MONTEJO DE LA VEGA DE LA SERREZUELA",           .,           1,
,"40131 MONTERRUBIO",           .,           1,
,"40134 MOZONCILLO",           .,           2,
,"40135 MUÑOPEDRO",           .,           3,
,"40136 MUÑOVEROS",           .,           2,
,"40138 NAVA DE LA ASUNCION",           1,           2,
,"40139 NAVAFRIA",           1,           7,
,"40140 NAVALILLA",           .,           2,
,"40145 NAVAS DE ORO",           1,           4,
,"40146 NAVAS DE SAN ANTONIO",           2,           .,
,"40148 NIEVA",           .,           2,
,"40149 OLOMBRADA",           .,           3,
,"40150 OREJANA",           .,           5,
,"40152 OTERO DE HERREROS",           .,           5,
,"40155 PALAZUELOS DE ERESMA",           2,           3,
,"40156 PEDRAZA",           4,           7,
,"40157 PELAYOS DEL ARROYO",           .,           4,
,"40161 CARABIAS",           2,           .,
,"40162 PRADENA",           .,           7,
,"40170 RIAZA",           2,           8,
,"40172 RIOFRIO DE RIAZA",           .,           1,
,"40174 SACRAMENIA",           2,           5,
,"40176 SAMBOAL",           .,           1,
,"40177 SAN CRISTOBAL DE CUELLAR",           .,           2,
,"40178 SAN CRISTOBAL DE LA VEGA",           1,           .,
,"40179 SANCHONUÑO",           1,           1,
,"40180 SANGARCIA",           .,           1,
,"40181 REAL SITIO DE SAN ILDEFONSO",           7,           8,
,"40182 SAN MARTIN Y MUDRIAN",           .,           1,
,"40183 SAN MIGUEL DE BERNUY",           1,           3,
,"40184 SAN PEDRO DE GAILLOS",           .,           2,
,"40185 SANTA MARIA LA REAL DE NIEVA",           2,           7,
,"40186 SANTA MARTA DEL CERRO",           .,           3,
