" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"09261 PEÑARANDA DE DUERO",           1,           4,
,"09266 PINEDA DE LA SIERRA",           2,           .,
,"09272 POZA DE LA SAL",           1,           .,
,"09274 PRADOLUENGO",           1,           2,
,"09276 PUEBLA DE ARGANZON (LA)",           1,           .,
,"09281 QUINTANA DEL PIDIO",           .,           1,
,"09288 QUINTANAPALLA",           1,           .,
,"09289 QUINTANAR DE LA SIERRA",           5,           .,
,"09297 QUINTANILLAS (LAS)",           1,           .,
,"09301 QUINTANILLA VIVAR",           1,           .,
,"09302 RABANERA DEL PINAR",           .,           1,
,"09303 RABANOS",           .,           1,
,"09309 REGUMIEL DE LA SIERRA",           .,           3,
,"09315 REVILLARRUZ",           1,           .,
,"09321 ROA",           1,           .,
,"09326 RUBENA",           4,           .,
,"09329 SALAS DE BUREBA",           2,           .,
,"09330 SALAS DE LOS INFANTES",           5,           .,
,"09350 SANTA MARIA DEL CAMPO",           .,           1,
,"09353 SANTA MARIA RIVARREDONDA",           1,           .,
,"09358 SANTO DOMINGO DE SILOS",           7,           3,
,"09362 SARRACIN",           1,           .,
,"09363 SASAMON",           1,           1,
,"09373 SOTRESGUDO",           .,           1,
,"09377 TARDAJOS",           1,           .,
,"09391 TORTOLES DE ESGUEVA",           .,           1,
,"09394 TRESPADERNE",           1,           .,
,"09395 TUBILLA DEL AGUA",           2,           1,
,"09400 VADOCONDES",           1,           .,
,"09409 VALLE DE MANZANEDO",           .,           1,
,"09410 VALLE DE MENA",           2,           3,
,"09412 VALLE DE TOBALINA",           4,           3,
,"09413 VALLE DE VALDEBEZANA",           3,           2,
,"09414 VALLE DE VALDELAGUNA",           .,           5,
,"09415 VALLE DE VALDELUCIO",           1,           2,
,"09416 VALLE DE ZAMANZAS",           .,           2,
,"09421 VID Y BARRIOS (LA)",           1,           1,
,"09427 VILLADIEGO",           2,           2,
,"09431 VILLAFRANCA MONTES DE OCA",           1,           .,
,"09434 VILLAGONZALO PEDERNALES",           3,           .,
,"09439 VILLALBILLA DE BURGOS",           1,           .,
,"09442 VILLALMANZO",           2,           .,
,"09447 VILLAMIEL DE LA SIERRA",           .,           1,
,"09448 VILLANGOMEZ",           .,           2,
,"09449 VILLANUEVA DE ARGAÑO",           2,           .,
,"09450 VILLANUEVA DE CARAZO",           .,           1,
,"09456 VILLAQUIRAN DE LOS INFANTES",           2,           .,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           .,           1,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",           5,           2,
,"09905 VALLE DE SEDANO",           .,           4,
,"09906 MERINDAD DE RIO UBIERNA",           5,           .,
,"09908 VALLE DE LOSA",           1,           3,
,"24001 ACEBEDO",           .,           1,
,"24003 ALIJA DEL INFANTADO",           1,           .,
,"24004 ALMANZA",           1,           .,
,"24006 ARDON",           5,           .,
,"24008 ASTORGA",          14,           1,
,"24009 BALBOA",           1,           2,
,"24010 BAÑEZA (LA)",          10,           .,
,"24012 BARRIOS DE LUNA (LOS)",           .,           1,
,"24014 BEMBIBRE",           3,           1,
,"24015 BENAVIDES",           1,           .,
,"24016 BENUZA",           .,           1,
,"24017 BERCIANOS DEL PARAMO",           1,           .,
,"24020 BOCA DE HUERGANO",           4,           .,
,"24021 BOÑAR",           3,           1,
,"24022 BORRENES",           .,           4,
,"24023 BRAZUELO",           2,           3,
,"24024 BURGO RANERO (EL)",           1,           .,
,"24025 BURON",           1,           2,
,"24029 CABRILLANES",           2,           7,
,"24030 CACABELOS",           2,           1,
,"24034 CAMPONARAYA",           2,           .,
,"24036 CANDIN",           .,           6,
,"24037 CARMENES",           3,           .,
,"24038 CARRACEDELO",           2,           .,
,"24039 CARRIZO",           2,           2,
,"24040 CARROCERA",           1,           8,
,"24043 CASTRILLO DE CABRERA",           .,           1,
,"24047 CASTROCONTRIGO",           2,           2,
,"24051 CEA",           .,           1,
,"24055 CIMANES DEL TEJAR",           1,           1,
,"24056 CISTIERNA",           7,           1,
,"24057 CONGOSTO",           2,           .,
,"24059 CORULLON",           .,           1,
,"24060 CREMENES",           2,           2,
,"24063 CUBILLAS DE RUEDA",           1,           .,
,"24067 ENCINEDO",           .,           2,
,"24070 FABERO",           1,           .,
,"24076 GARRAFE DE TORIO",           .,           3,
,"24078 GORDONCILLO",           .,           1,
,"24082 HOSPITAL DE ORBIGO",           5,           1,
,"24084 IZAGRE",           1,           .,
,"24089 LEON",          50,           .,
,"24090 LUCILLO",           .,           1,
,"24091 LUYEGO",           .,           4,
,"24093 MAGAZ DE CEPEDA",           .,           1,
,"24094 MANSILLA DE LAS MULAS",           5,           1,
,"24100 MOLINASECA",           2,           4,
,"24101 MURIAS DE PAREDES",           .,           2,
,"24103 OENCIA",           .,           1,
,"24105 ONZONILLA",           2,           .,
,"24106 OSEJA DE SAJAMBRE",           2,           .,
,"24109 PALACIOS DEL SIL",           .,           1,
,"24114 POLA DE GORDON (LA)",           5,           .,
,"24115 PONFERRADA",          23,          12,
,"24116 POSADA DE VALDEON",          10,           3,
,"24121 PUEBLA DE LILLO",           8,           3,
,"24122 PUENTE DE DOMINGO FLOREZ",           3,           1,
,"24130 RIAÑO",           4,           1,
,"24131 RIEGO DE LA VEGA",           2,           .,
,"24132 RIELLO",           .,           7,
,"24134 ROBLA (LA)",           2,           .,
,"24136 ROPERUELOS DEL PARAMO",           2,           .,
,"24139 SAHAGUN",           7,           .,
,"24142 SAN ANDRES DEL RABANEDO",           3,           .,
,"24144 SAN CRISTOBAL DE LA POLANTERA",           .,           1,
,"24145 SAN EMILIANO",           3,           2,
,"24148 SAN JUSTO DE LA VEGA",           2,           .,
,"24149 SAN MILLAN DE LOS CABALLEROS",           1,           .,
,"24151 SANTA COLOMBA DE CURUEÑO",           2,           .,
,"24152 SANTA COLOMBA DE SOMOZA",           2,           3,
,"24153 SANTA CRISTINA DE VALMADRIGAL",           3,           .,
,"24157 SANTA MARIA DEL PARAMO",           4,           .,
,"24158 SANTA MARIA DE ORDAS",           .,           3,
,"24159 SANTA MARINA DEL REY",           2,           .,
,"24160 SANTAS MARTAS",           2,           .,
,"24161 SANTIAGO MILLAS",           .,           1,
,"24163 SARIEGOS",           2,           .,
,"24164 SENA DE LUNA",           2,           2,
,"24165 SOBRADO",           .,           1,
,"24166 SOTO DE LA VEGA",           1,           1,
,"24167 SOTO Y AMIO",           2,           1,
,"24169 TORENO",           1,           1,
,"24170 TORRE DEL BIERZO",           1,           1,
,"24171 TRABADELO",           1,           .,
,"24172 TRUCHAS",           1,           4,
,"24179 VALDEPIELAGO",           .,           1,
,"24180 VALDEPOLO",           2,           .,
,"24181 VALDERAS",           2,           .,
,"24183 VALDERRUEDA",           2,           .,
,"24185 VAL DE SAN LORENZO",           .,           1,
,"24188 VALENCIA DE DON JUAN",           9,           .,
,"24189 VALVERDE DE LA VIRGEN",           4,           .,
,"24191 VALLECILLO",           .,           2,
,"24193 VECILLA (LA)",           2,           .,
,"24194 VEGACERVERA",           1,           4,
,"24196 VEGA DE ESPINAREDA",           3,          15,
,"24198 VEGA DE VALCARCE",           2,           1,
,"24201 VEGAS DEL CONDADO",           1,           4,
,"24202 VILLABLINO",          12,           2,
,"24205 VILLADANGOS DEL PARAMO",           5,           .,
,"24206 TORAL DE LOS VADOS",           2,           1,
,"24209 VILLAFRANCA DEL BIERZO",           7,           1,
,"24212 VILLAMAÑAN",           1,           .,
,"24215 VILLAMOL",           .,           1,
,"24221 VILLAQUEJIDA",           1,           .,
,"24222 VILLAQUILAMBRE",           2,           .,
,"24223 VILLAREJO DE ORBIGO",           3,           .,
,"24225 VILLASABARIEGO",           3,           .,
,"24901 VILLAMANIN",           5,           3,
,"34004 AGUILAR DE CAMPOO",          11,          18,
,"34005 ALAR DEL REY",           5,           2,
,"34009 AMAYUELAS DE ARRIBA",           .,           1,
,"34010 AMPUDIA",           1,           1,
,"34011 AMUSCO",           1,           .,
,"34017 ASTUDILLO",           1,           1,
