" Datos Básicos  - Hospitales y Camas hospitalarias"
"Datos de: INDICADOR=HOSPITALES, CAMAS HOSPITALARIAS"
"FAMILIA INDICADOR",,"SANIDAD",,
"INDICADOR",,"HOSPITALES","CAMAS HOSPITALARIAS",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"24222 VILLAQUILAMBRE",           1,         114,
,"34120 PALENCIA",           4,         936,
,"37274 SALAMANCA",           2,        1139,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         426,
,"42173 SORIA",           1,         355,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1690,
,"49275 ZAMORA",           3,         672,
,"TOTAL",          40,        9507,
"2009","05019 AVILA",           2,         451,
,"09018 ARANDA DE DUERO",           2,         169,
,"09059 BURGOS",           4,        1216,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           4,        1280,
,"24115 PONFERRADA",           3,         493,
,"24142 SAN ANDRES DEL RABANEDO",           1,         231,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         114,
,"34120 PALENCIA",           4,         930,
,"37274 SALAMANCA",           2,        1129,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         426,
,"42173 SORIA",           1,         355,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           7,        1802,
,"49275 ZAMORA",           3,         674,
,"TOTAL",          40,        9579,
"2010","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         169,
,"09059 BURGOS",           3,        1175,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           4,        1280,
,"24115 PONFERRADA",           3,         541,
,"24142 SAN ANDRES DEL RABANEDO",           1,         201,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         114,
,"34120 PALENCIA",           4,         930,
,"37274 SALAMANCA",           2,        1128,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         426,
,"42173 SORIA",           1,         355,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1806,
,"49275 ZAMORA",           2,         641,
,"TOTAL",          37,        9538,
"2011","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         198,
,"09059 BURGOS",           3,        1174,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           4,        1280,
,"24115 PONFERRADA",           3,         541,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         114,
,"34120 PALENCIA",           4,         922,
,"37274 SALAMANCA",           2,        1095,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         425,
,"42173 SORIA",           1,         355,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1866,
,"49275 ZAMORA",           2,         644,
,"TOTAL",          37,        9683,
"2012","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         198,
,"09059 BURGOS",           3,        1133,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           4,        1280,
,"24115 PONFERRADA",           3,         541,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         114,
,"34120 PALENCIA",           4,         920,
