FECHA,COD_MUNICIPIO,MUNICIPIO,POBLACION_TOTAL,PROP_ENVEJECIMIENTO,TASA_DEMANDA,TASA_PARO,RATIO_DEMANDA_PARO,SERVICIOS_TURISTICOS,SERVICIOS_SANIDAD,CONSULTORIOS,FARMACIAS,HOSPITALES,ESCUELAS,ALUMNOS,EMPRESAS,PROP_POBLACION_EXTRANJERA,DISTANCIA_CAPITAL
2005,42001,42001 ABEJAR,392,0.30612244897959184,4.184100418410042,2.928870292887029,1.4285714285714286,16.0,,,,0.0,,0,,0.03571428571428571,27.4
2005,42003,42003 ADRADAS,82,0.43902439024390244,7.142857142857142,7.142857142857142,1.0,1.0,,,,0.0,0.0,0,,0.0,54.3
2005,42004,42004 AGREDA,3216,0.26616915422885573,5.1440329218107,4.372427983539095,1.1764705882352942,4.0,,,,0.0,2.0,461,,0.04788557213930348,57.1
2005,42006,42006 ALCONABA,171,0.2573099415204678,6.1946902654867255,3.5398230088495577,1.75,0.0,,,,0.0,0.0,0,,0.011695906432748537,13.0
2005,42007,42007 ALCUBILLA DE AVELLANEDA,183,0.5191256830601093,6.024096385542169,6.024096385542169,1.0,0.0,,,,0.0,0.0,0,,0.01639344262295082,78.9
2005,42008,42008 ALCUBILLA DE LAS PEÑAS,72,0.5694444444444444,3.3333333333333335,3.3333333333333335,1.0,0.0,,,,0.0,0.0,0,,0.0,68.5
2005,42009,42009 ALDEALAFUENTE,124,0.3629032258064516,2.5974025974025974,1.2987012987012987,2.0,0.0,,,,0.0,0.0,0,,0.0,25.1
2005,42010,42010 ALDEALICES,28,0.25,5.263157894736842,5.263157894736842,1.0,0.0,,,,0.0,0.0,0,,0.14285714285714285,26.8
2005,42011,42011 ALDEALPOZO,27,0.4444444444444444,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,29.2
2005,42012,42012 ALDEALSEÑOR,43,0.5348837209302325,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,23.9
2005,42013,42013 ALDEHUELA DE PERIAÑEZ,48,0.3125,3.225806451612903,3.225806451612903,1.0,1.0,,,,0.0,0.0,0,,0.020833333333333332,21.6
2005,42014,42014 ALDEHUELAS (LAS),98,0.46938775510204084,0.0,0.0,,1.0,,,,0.0,0.0,0,,0.0,34.5
2005,42015,42015 ALENTISQUE,42,0.6190476190476191,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,56.5
2005,42016,42016 ALIUD,28,0.5714285714285714,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,32.1
2005,42017,42017 ALMAJANO,224,0.2544642857142857,2.142857142857143,2.142857142857143,1.0,0.0,,,,0.0,0.0,0,,0.20982142857142858,19.9
2005,42018,42018 ALMALUEZ,243,0.49382716049382713,0.8771929824561403,0.8771929824561403,1.0,1.0,,,,0.0,0.0,0,,0.012345679012345678,72.7
2005,42019,42019 ALMARZA,667,0.2908545727136432,2.18978102189781,1.9464720194647203,1.125,12.0,,,,0.0,1.0,31,,0.038980509745127435,23.3
2005,42020,42020 ALMAZAN,5727,0.22577265584075432,7.660398230088496,5.696902654867256,1.3446601941747574,25.0,,,,0.0,5.0,1138,,0.04976427448926139,35.9
2005,42021,42021 ALMAZUL,131,0.5114503816793893,3.1746031746031744,3.1746031746031744,1.0,0.0,,,,0.0,0.0,0,,0.0,47.6
2005,42022,42022 ALMENAR DE SORIA,335,0.46567164179104475,0.0,0.0,,1.0,,,,0.0,0.0,0,,0.0029850746268656717,31.2
2005,42023,42023 ALPANSEQUE,93,0.5053763440860215,2.3255813953488373,2.3255813953488373,1.0,0.0,,,,0.0,0.0,0,,0.0,66.9
2005,42024,42024 ARANCON,110,0.3090909090909091,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,23.8
2005,42025,42025 ARCOS DE JALON,1871,0.3554249064671299,3.494347379239465,2.466598150051387,1.4166666666666667,13.0,,,,0.0,2.0,354,,0.09139497594869055,92.5
2005,42026,42026 ARENILLAS,30,0.4,5.88235294117647,5.88235294117647,1.0,0.0,,,,0.0,0.0,0,,0.0,74.0
2005,42027,42027 AREVALO DE LA SIERRA,83,0.39759036144578314,2.1739130434782608,0.0,,0.0,,,,0.0,0.0,0,,0.0,29.8
2005,42028,42028 AUSEJO DE LA SIERRA,64,0.25,9.30232558139535,4.651162790697675,2.0,1.0,,,,0.0,0.0,0,,0.015625,19.5
2005,42029,42029 BARAONA,202,0.43564356435643564,3.7037037037037033,3.7037037037037033,1.0,3.0,,,,0.0,0.0,0,,0.019801980198019802,63.6
2005,42030,42030 BARCA,115,0.4,3.0303030303030303,3.0303030303030303,1.0,0.0,,,,0.0,0.0,0,,0.017391304347826087,48.7
2005,42031,42031 BARCONES,42,0.5952380952380952,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,82.4
2005,42032,42032 BAYUBAS DE ABAJO,246,0.4349593495934959,6.153846153846154,6.153846153846154,1.0,3.0,,,,0.0,0.0,0,,0.008130081300813009,56.2
2005,42033,42033 BAYUBAS DE ARRIBA,67,0.43283582089552236,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.014925373134328358,53.3
2005,42034,42034 BERATON,46,0.6304347826086957,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,70.4
2005,42035,42035 BERLANGA DE DUERO,1085,0.3824884792626728,4.266211604095563,3.0716723549488054,1.3888888888888888,5.0,,,,0.0,1.0,95,,0.02119815668202765,52.6
2005,42036,42036 BLACOS,67,0.44776119402985076,0.0,0.0,,0.0,,,,0.0,0.0,0,,0.0,35.8
