COD_MUNICIPIO,MUNICIPIO,POBLACION_TOTAL,PROP_ENVEJECIMIENTO,EMPRESAS,SERVICIOS_SANIDAD,ESCUELAS,DISTANCIA_CAPITAL,POBLACION_2030_PROY,VAR_2024_2030,VAR_2024_2030_PCT,VAR_2024_2030_PCT_PCT,PROP_ENVEJECIMIENTO_PCT,EMPRESAS_PCT,SERVICIOS_SANIDAD_PCT,ESCUELAS_PCT,DISTANCIA_CAPITAL_PCT,DIM_DEMOGRAFICA,DIM_ECONOMICA,DIM_SERVICIOS,DIM_ACCESIBILIDAD,DIM_DINAMICA_FUTURA,INDICE_VULNERABILIDAD,NIVEL_VULNERABILIDAD,CLUSTER,PCA_1,PCA_2
42001,42001 ABEJAR,386,0.248041775456919,23.0,1.0,0.0,27.4,291,-95,-24.61139896373057,0.0879120879120879,0.1153846153846153,0.1098901098901099,0.6785714285714286,0.554945054945055,0.1785714285714285,0.1153846153846153,0.1098901098901099,0.6167582417582418,0.1785714285714285,0.0879120879120879,0.2217032967032967,Baja,2,1.7803808425246295,1.6302853176416867
42003,42003 ADRADAS,58,0.328125,8.0,2.0,0.0,54.3,74,16,27.58620689655172,0.6868131868131868,0.3269230769230769,0.2829670329670329,0.3296703296703297,0.554945054945055,0.6153846153846154,0.3269230769230769,0.2829670329670329,0.4423076923076923,0.6153846153846154,0.6868131868131868,0.4708791208791208,Media,0,0.6815074141656856,-0.8109449767924968
42004,42004 AGREDA,3094,0.2567260940032415,186.0,2.0,3.0,57.1,3179,85,2.7472527472527477,0.3846153846153846,0.1318681318681318,0.021978021978022,0.3296703296703297,0.0384615384615384,0.6868131868131868,0.1318681318681318,0.021978021978022,0.184065934065934,0.6868131868131868,0.3846153846153846,0.2818681318681318,Baja,0,2.6771012288132474,-1.1382518589590298
42006,42006 ALCONABA,199,0.2985074626865671,11.0,4.0,0.0,13.0,407,208,104.52261306532664,0.934065934065934,0.2142857142857142,0.1978021978021977,0.1181318681318681,0.554945054945055,0.0274725274725274,0.2142857142857142,0.1978021978021977,0.3365384615384615,0.0274725274725274,0.934065934065934,0.342032967032967,Baja,2,1.4516303577509402,-0.05313736434642234
42007,42007 ALCUBILLA DE AVELLANEDA,107,0.5188679245283019,5.0,4.0,0.0,78.9,160,53,49.53271028037384,0.8186813186813187,0.8626373626373627,0.3626373626373627,0.1181318681318681,0.554945054945055,0.9368131868131868,0.8626373626373627,0.3626373626373627,0.3365384615384615,0.9368131868131868,0.8186813186813187,0.6634615384615385,Alta,0,-0.3721981522664354,-2.3386885078278468
42008,42008 ALCUBILLA DE LAS PEÑAS,59,0.3220338983050847,8.0,3.0,0.0,68.5,79,20,33.89830508474576,0.7472527472527473,0.3021978021978022,0.2829670329670329,0.1895604395604395,0.554945054945055,0.8186813186813187,0.3021978021978022,0.2829670329670329,0.3722527472527472,0.8186813186813187,0.7472527472527473,0.5046703296703297,Media,0,0.7565830773206719,-1.5395161029697841
42009,42009 ALDEALAFUENTE,83,0.3720930232558139,4.0,2.0,0.0,25.1,94,11,13.253012048192772,0.532967032967033,0.478021978021978,0.4093406593406593,0.3296703296703297,0.554945054945055,0.1428571428571428,0.478021978021978,0.4093406593406593,0.4423076923076923,0.1428571428571428,0.532967032967033,0.4010989010989011,Baja,2,0.5820827529393544,0.6274843933898544
42010,42010 ALDEALICES,20,0.5,0.0,1.0,0.0,26.8,18,-2,-10.0,0.1978021978021978,0.8324175824175825,0.717032967032967,0.6785714285714286,0.554945054945055,0.1703296703296703,0.8324175824175825,0.717032967032967,0.6167582417582418,0.1703296703296703,0.1978021978021978,0.5068681318681318,Media,1,-0.8876101527322827,1.5878375870837897
42011,42011 ALDEALPOZO,18,0.3333333333333333,0.0,1.0,0.0,29.2,28,10,55.55555555555556,0.8516483516483516,0.3461538461538461,0.717032967032967,0.6785714285714286,0.554945054945055,0.2032967032967033,0.3461538461538461,0.717032967032967,0.6167582417582418,0.2032967032967033,0.8516483516483516,0.546978021978022,Media,1,-0.8225947435335919,0.7095501946471497
42012,42012 ALDEALSEÑOR,28,0.3571428571428571,0.0,1.0,0.0,23.9,30,2,7.142857142857142,0.4423076923076923,0.4395604395604395,0.717032967032967,0.6785714285714286,0.554945054945055,0.1208791208791208,0.4395604395604395,0.717032967032967,0.6167582417582418,0.1208791208791208,0.4423076923076923,0.4673076923076923,Media,1,-0.48464288505650305,1.558195005937957
