FECHA,COD_MUNICIPIO,MUNICIPIO,POBLACION_MUJERES,POBLACION_HOMBRES,EMIGRACIONES CON DESTINO A LA MISMA PROVINCIA,INMIGRACIONES PROCEDENTES DE LA MISMA PROVINCIA,EMIGRACIONES CON DESTINO A OTRA PROVINCIA DE CASTILLA Y LEÓN,INMIGRACIONES PROCEDENTES DE OTRA PROVINCIA DE CASTILLA Y LEÓN,EMIGRACIONES CON DESTINO A OTRAS COMUNIDADES AUTÓNOMAS,INMIGRACIONES PROCEDENTES DE OTRAS COMUNIDADES AUTÓNOMAS,EMIGRACIONES CON DESTINO A OTROS PAÍSES
2005,42060,42060 CERBON,18,24,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2005,42061,42061 CIDONES,154,197,13.0,10.0,0.0,0.0,4.0,2.0,0.0
2005,42062,42062 CIGUDOSA,22,33,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2005,42063,42063 CIHUELA,42,40,0.0,0.0,1.0,0.0,2.0,3.0,0.0
2005,42064,42064 CIRIA,54,52,4.0,2.0,0.0,0.0,0.0,2.0,0.0
2005,42065,42065 CIRUJALES DEL RIO,16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42068,42068 COSCURITA,59,70,3.0,0.0,0.0,0.0,3.0,0.0,0.0
2005,42069,42069 COVALEDA,989,1031,21.0,17.0,3.0,3.0,24.0,11.0,0.0
2005,42070,42070 CUBILLA,29,32,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2005,42071,42071 CUBO DE LA SOLANA,107,124,3.0,3.0,0.0,0.0,2.0,4.0,0.0
2005,42073,42073 CUEVA DE AGREDA,44,49,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42075,42075 DEVANOS,54,60,1.0,0.0,0.0,0.0,3.0,1.0,0.0
2005,42076,42076 DEZA,173,165,5.0,0.0,0.0,1.0,13.0,4.0,0.0
2005,42078,42078 DURUELO DE LA SIERRA,693,690,9.0,5.0,4.0,12.0,5.0,6.0,0.0
2005,42079,42079 ESCOBOSA DE ALMAZAN,15,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2005,42080,42080 ESPEJA DE SAN MARCELINO,99,133,4.0,1.0,0.0,2.0,3.0,4.0,0.0
2005,42081,42081 ESPEJON,97,108,3.0,0.0,1.0,3.0,3.0,3.0,0.0
2005,42082,42082 ESTEPA DE SAN JUAN,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42083,42083 FRECHILLA DE ALMAZAN,16,17,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2005,42084,42084 FRESNO DE CARACENA,14,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42085,42085 FUENTEARMEGIL,132,149,5.0,0.0,0.0,0.0,3.0,2.0,0.0
2005,42086,42086 FUENTECAMBRON,27,33,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42087,42087 FUENTECANTOS,28,28,0.0,3.0,0.0,0.0,1.0,1.0,0.0
2005,42088,42088 FUENTELMONGE,49,61,2.0,0.0,0.0,0.0,4.0,1.0,0.0
2005,42089,42089 FUENTELSAZ DE SORIA,34,23,2.0,4.0,0.0,0.0,0.0,0.0,0.0
2005,42090,42090 FUENTEPINILLA,61,77,1.0,3.0,2.0,0.0,7.0,0.0,0.0
2005,42092,42092 FUENTES DE MAGAÑA,38,39,1.0,0.0,0.0,0.0,1.0,2.0,0.0
2005,42093,42093 FUENTESTRUN,26,41,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2005,42094,42094 GARRAY,212,278,21.0,25.0,0.0,0.0,6.0,9.0,0.0
2005,42095,42095 GOLMAYO,649,753,57.0,128.0,0.0,10.0,10.0,23.0,0.0
2005,42096,42096 GOMARA,198,226,7.0,6.0,1.0,0.0,17.0,6.0,1.0
2005,42097,42097 GORMAZ,11,7,2.0,1.0,0.0,0.0,0.0,2.0,0.0
2005,42098,42098 HERRERA DE SORIA,7,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42100,42100 HINOJOSA DEL CAMPO,14,26,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2005,42103,42103 LANGA DE DUERO,382,466,9.0,10.0,18.0,17.0,9.0,17.0,4.0
2005,42105,42105 LICERAS,28,28,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2005,42106,42106 LOSILLA (LA),4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42107,42107 MAGAÑA,50,54,10.0,3.0,0.0,0.0,2.0,12.0,0.0
2005,42108,42108 MAJAN,7,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42110,42110 MATALEBRERAS,56,61,4.0,0.0,0.0,0.0,3.0,2.0,0.0
2005,42111,42111 MATAMALA DE ALMAZAN,174,198,6.0,5.0,2.0,5.0,4.0,8.0,0.0
2005,42113,42113 MEDINACELI,345,349,8.0,14.0,10.0,2.0,27.0,56.0,0.0
2005,42115,42115 MIÑO DE MEDINACELI,50,49,11.0,1.0,0.0,0.0,6.0,13.0,1.0
