COD_MUNICIPIO,MUNICIPIO,CLUSTER,NIVEL_VULNERABILIDAD,INDICE_VULNERABILIDAD
42118,42118 MOMBLONA,1,Alta,0.7178571428571429
42119,42119 MONTEAGUDO DE LAS VICARIAS,0,Baja,0.423076923076923
42120,42120 MONTEJO DE TIERMES,0,Media,0.4942307692307692
42121,42121 MONTENEGRO DE CAMEROS,1,Alta,0.7409340659340659
42123,42123 MORON DE ALMAZAN,2,Baja,0.332967032967033
42124,42124 MURIEL DE LA FUENTE,1,Media,0.5848901098901099
42125,42125 MURIEL VIEJO,2,Baja,0.4282967032967033
42127,42127 NAFRIA DE UCERO,1,Alta,0.6184065934065934
42128,42128 NARROS,2,Baja,0.3151098901098901
42129,42129 NAVALENO,0,Baja,0.2903846153846154
42130,42130 NEPAS,1,Alta,0.6085164835164836
42131,42131 NOLAY,1,Media,0.5370879120879121
42132,42132 NOVIERCAS,2,Baja,0.3225274725274725
42134,42134 OLVEGA,0,Baja,0.196978021978022
42135,42135 ONCALA,1,Alta,0.6096153846153847
42139,42139 PINILLA DEL CAMPO,1,Alta,0.7167582417582418
42140,42140 PORTILLO DE SORIA,1,Alta,0.6879120879120879
42141,42141 POVEDA DE SORIA (LA),2,Baja,0.318956043956044
42142,42142 POZALMURO,2,Baja,0.425
42144,42144 QUINTANA REDONDA,2,Baja,0.1208791208791209
42145,42145 QUINTANAS DE GORMAZ,0,Media,0.4563186813186813
42148,42148 QUIÑONERIA,1,Alta,0.6145604395604395
42149,42149 RABANOS (LOS),2,Baja,0.1934065934065933
42151,42151 REBOLLAR,2,Baja,0.346978021978022
42152,42152 RECUERDA,0,Media,0.5293956043956044
42153,42153 RELLO,1,Alta,0.7623626373626374
42154,42154 RENIEBLAS,2,Baja,0.3148351648351648
42155,42155 RETORTILLO DE SORIA,0,Alta,0.6469780219780221
42156,42156 REZNOS,1,Alta,0.6217032967032966
42157,42157 RIBA DE ESCALOTE (LA),1,Alta,0.7771978021978022
42158,42158 RIOSECO DE SORIA,2,Baja,0.3214285714285714
42159,42159 ROLLAMIENTA,1,Media,0.479945054945055
42160,42160 ROYO (EL),2,Baja,0.3302197802197802
42161,42161 SALDUERO,2,Media,0.464010989010989
42162,42162 SAN ESTEBAN DE GORMAZ,0,Baja,0.2497252747252747
42163,42163 SAN FELICES,1,Media,0.5228021978021978
42164,42164 SAN LEONARDO DE YAGÜE,0,Baja,0.2662087912087912
42165,42165 SAN PEDRO MANRIQUE,0,Baja,0.1675824175824175
42166,42166 SANTA CRUZ DE YANGUAS,1,Media,0.5236263736263737
42167,42167 SANTA MARIA DE HUERTA,0,Media,0.5096153846153846
42168,42168 SANTA MARIA DE LAS HOYAS,1,Alta,0.6041208791208791
42171,42171 SERON DE NAGIMA,0,Media,0.5340659340659342
42172,42172 SOLIEDRA,1,Alta,0.6505494505494506
42174,42174 SOTILLO DEL RINCON,2,Baja,0.3181318681318681
42175,42175 SUELLACABRAS,2,Media,0.4706043956043956
42176,42176 TAJAHUERCE,1,Alta,0.6766483516483517
42177,42177 TAJUECO,1,Alta,0.6554945054945056
42178,42178 TALVEILA,1,Media,0.5799450549450549
