FECHA,COD_MUNICIPIO,MUNICIPIO,POBLACION_TOTAL,PROP_ENVEJECIMIENTO,TASA_DEMANDA,TASA_PARO,SERVICIOS_TURISTICOS,SERVICIOS_SANIDAD,ESCUELAS,EMPRESAS,PROP_POBLACION_EXTRANJERA,DISTANCIA_CAPITAL
2012,42001,42001 ABEJAR,367,0.3188010899182561,13.004484304932737,11.210762331838566,27.0,2.0,0.0,18.0,0.0735694822888283,27.4
2012,42003,42003 ADRADAS,70,0.4714285714285714,10.81081081081081,5.405405405405405,4.0,2.0,0.0,6.0,0.0,54.3
2012,42004,42004 AGREDA,3177,0.2467736858671702,12.740509620384817,10.816432657306292,5.0,1.0,3.0,189.0,0.107963487566887,57.1
2012,42006,42006 ALCONABA,190,0.2684210526315789,7.6923076923076925,5.384615384615385,0.0,3.0,0.0,6.0,0.1,13.0
2012,42007,42007 ALCUBILLA DE AVELLANEDA,161,0.5403726708074534,8.21917808219178,6.849315068493151,2.0,4.0,0.0,4.0,0.093167701863354,78.9
2012,42008,42008 ALCUBILLA DE LAS PEÑAS,72,0.5138888888888888,6.451612903225806,3.225806451612903,1.0,3.0,0.0,8.0,0.1111111111111111,68.5
2012,42009,42009 ALDEALAFUENTE,98,0.3265306122448979,4.6875,4.6875,0.0,2.0,0.0,0.0,0.0510204081632653,25.1
2012,42010,42010 ALDEALICES,25,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.16,26.8
2012,42011,42011 ALDEALPOZO,27,0.3333333333333333,5.555555555555555,5.555555555555555,0.0,1.0,0.0,0.0,0.1851851851851851,29.2
2012,42012,42012 ALDEALSEÑOR,43,0.4651162790697674,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.9
2012,42013,42013 ALDEHUELA DE PERIAÑEZ,50,0.34,6.666666666666667,3.333333333333333,3.0,1.0,0.0,0.0,0.02,21.6
2012,42014,42014 ALDEHUELAS (LAS),84,0.3928571428571428,4.0,2.0,1.0,3.0,0.0,0.0,0.0476190476190476,34.5
2012,42015,42015 ALENTISQUE,34,0.5588235294117647,0.0,0.0,0.0,2.0,0.0,0.0,0.0,56.5
2012,42016,42016 ALIUD,26,0.5769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1
2012,42017,42017 ALMAJANO,222,0.2207207207207207,8.275862068965518,6.206896551724138,7.0,2.0,0.0,12.0,0.1981981981981982,19.9
2012,42018,42018 ALMALUEZ,181,0.569060773480663,4.054054054054054,4.054054054054054,1.0,4.0,0.0,5.0,0.0220994475138121,72.7
2012,42019,42019 ALMARZA,645,0.3147286821705426,10.831234256926953,8.312342569269521,22.0,8.0,1.0,42.0,0.055813953488372,23.3
2012,42020,42020 ALMAZAN,5861,0.2156628561678894,17.865739502540787,14.281893554426317,29.0,4.0,8.0,380.0,0.1213103565944378,35.9
2012,42021,42021 ALMAZUL,97,0.5670103092783505,4.878048780487805,4.878048780487805,0.0,2.0,0.0,0.0,0.0,47.6
2012,42022,42022 ALMENAR DE SORIA,265,0.4264150943396226,7.092198581560284,7.092198581560284,4.0,4.0,0.0,15.0,0.0037735849056603,31.2
2012,42023,42023 ALPANSEQUE,82,0.4390243902439024,2.3255813953488373,0.0,0.0,2.0,0.0,0.0,0.0121951219512195,66.9
2012,42024,42024 ARANCON,95,0.3473684210526316,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23.8
2012,42025,42025 ARCOS DE JALON,1839,0.2936378466557912,12.3730378578024,10.249307479224376,14.0,13.0,2.0,98.0,0.1963023382272974,92.5
2012,42026,42026 ARENILLAS,30,0.3666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0666666666666666,74.0
2012,42027,42027 AREVALO DE LA SIERRA,89,0.348314606741573,3.7037037037037033,1.851851851851852,3.0,3.0,0.0,4.0,0.0224719101123595,29.8
2012,42028,42028 AUSEJO DE LA SIERRA,69,0.2753623188405797,11.627906976744184,11.627906976744184,3.0,2.0,0.0,4.0,0.0144927536231884,19.5
2012,42029,42029 BARAONA,183,0.4043715846994535,10.576923076923077,7.6923076923076925,4.0,4.0,0.0,9.0,0.0710382513661202,63.6
2012,42030,42030 BARCA,120,0.3916666666666666,3.076923076923077,3.076923076923077,0.0,2.0,0.0,4.0,0.0166666666666666,48.7
2012,42031,42031 BARCONES,31,0.5483870967741935,7.142857142857142,7.142857142857142,0.0,1.0,0.0,0.0,0.0,82.4
2012,42032,42032 BAYUBAS DE ABAJO,192,0.4895833333333333,12.903225806451612,8.60215053763441,5.0,2.0,0.0,6.0,0.0364583333333333,56.2
2012,42033,42033 BAYUBAS DE ARRIBA,54,0.5185185185185185,3.8461538461538463,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,53.3
2012,42034,42034 BERATON,39,0.4871794871794871,5.0,5.0,0.0,1.0,0.0,0.0,0.0256410256410256,70.4
2012,42035,42035 BERLANGA DE DUERO,981,0.3955147808358817,9.14396887159533,7.003891050583658,15.0,7.0,1.0,68.0,0.0672782874617737,52.6
2012,42036,42036 BLACOS,53,0.4528301886792453,22.22222222222222,22.22222222222222,1.0,1.0,0.0,0.0,0.0,35.8
2012,42037,42037 BLIECOS,42,0.4523809523809524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.8
2012,42038,42038 BORJABAD,40,0.575,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.7
2012,42039,42039 BOROBIA,286,0.4755244755244755,6.569343065693431,5.109489051094891,5.0,2.0,0.0,12.0,0.0244755244755244,62.9
