" Datos Básicos  - Farmacias"
"Datos de: INDICADOR=FARMACIAS"
"FAMILIA INDICADOR",,"SANIDAD",
"INDICADOR",,"FARMACIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"09235 OLMEDILLO DE ROA",           1,
,"09238 OÑA",           1,
,"09246 PALACIOS DE LA SIERRA",           1,
,"09250 PAMPLIEGA",           1,
,"09256 PEDROSA DE DUERO",           1,
,"09261 PEÑARANDA DE DUERO",           1,
,"09272 POZA DE LA SAL",           1,
,"09274 PRADOLUENGO",           1,
,"09276 PUEBLA DE ARGANZON (LA)",           1,
,"09289 QUINTANAR DE LA SIERRA",           1,
,"09301 QUINTANILLA VIVAR",           1,
,"09309 REGUMIEL DE LA SIERRA",           1,
,"09321 ROA",           2,
,"09330 SALAS DE LOS INFANTES",           1,
,"09338 SAN MAMES DE BURGOS",           1,
,"09339 SAN MARTIN DE RUBIALES",           1,
,"09350 SANTA MARIA DEL CAMPO",           1,
,"09358 SANTO DOMINGO DE SILOS",           1,
,"09363 SASAMON",           1,
,"09369 SOTILLO DE LA RIBERA",           1,
,"09377 TARDAJOS",           1,
,"09384 TORDOMAR",           1,
,"09390 TORRESANDINO",           1,
,"09391 TORTOLES DE ESGUEVA",           1,
,"09394 TRESPADERNE",           1,
,"09400 VADOCONDES",           1,
,"09410 VALLE DE MENA",           1,
,"09412 VALLE DE TOBALINA",           1,
,"09415 VALLE DE VALDELUCIO",           1,
,"09425 VILVIESTRE DEL PINAR",           1,
,"09427 VILLADIEGO",           2,
,"09431 VILLAFRANCA MONTES DE OCA",           1,
,"09432 VILLAFRUELA",           1,
,"09434 VILLAGONZALO PEDERNALES",           1,
,"09437 VILLAHOZ",           1,
,"09438 VILLALBA DE DUERO",           1,
,"09439 VILLALBILLA DE BURGOS",           1,
,"09442 VILLALMANZO",           1,
,"09443 VILLAMAYOR DE LOS MONTES",           1,
,"09483 ZAZUAR",           1,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           1,
,"09902 VALLE DE SANTIBAÑEZ",           1,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",           1,
,"09905 VALLE DE SEDANO",           1,
,"09906 MERINDAD DE RIO UBIERNA",           1,
,"09907 ALFOZ DE QUINTANADUEÑAS",           1,
,"09908 VALLE DE LOSA",           1,
,"24002 ALGADEFE",           1,
,"24003 ALIJA DEL INFANTADO",           1,
,"24004 ALMANZA",           1,
,"24005 ANTIGUA (LA)",           1,
,"24006 ARDON",           1,
,"24007 ARGANZA",           1,
,"24008 ASTORGA",           7,
,"24009 BALBOA",           1,
,"24010 BAÑEZA (LA)",           5,
,"24011 BARJAS",           1,
,"24014 BEMBIBRE",           4,
,"24015 BENAVIDES",           1,
,"24016 BENUZA",           1,
,"24017 BERCIANOS DEL PARAMO",           1,
,"24019 BERLANGA DEL BIERZO",           1,
,"24020 BOCA DE HUERGANO",           1,
,"24021 BOÑAR",           2,
,"24022 BORRENES",           1,
,"24023 BRAZUELO",           1,
,"24024 BURGO RANERO (EL)",           1,
,"24025 BURON",           1,
,"24026 BUSTILLO DEL PARAMO",           1,
,"24027 CABAÑAS RARAS",           1,
,"24028 CABREROS DEL RIO",           1,
,"24029 CABRILLANES",           1,
,"24030 CACABELOS",           2,
,"24034 CAMPONARAYA",           1,
,"24036 CANDIN",           1,
,"24038 CARRACEDELO",           1,
,"24039 CARRIZO",           2,
,"24040 CARROCERA",           1,
,"24041 CARUCEDO",           1,
,"24046 CASTROCALBON",           1,
,"24047 CASTROCONTRIGO",           1,
,"24049 CASTROPODAME",           1,
,"24051 CEA",           1,
,"24053 CEBRONES DEL RIO",           1,
,"24054 CIMANES DE LA VEGA",           1,
,"24055 CIMANES DEL TEJAR",           1,
,"24057 CONGOSTO",           1,
,"24058 CORBILLOS DE LOS OTEROS",           1,
,"24059 CORULLON",           1,
,"24060 CREMENES",           1,
,"24061 CUADROS",           1,
,"24063 CUBILLAS DE RUEDA",           1,
,"24064 CUBILLOS DEL SIL",           1,
,"24065 CHOZAS DE ABAJO",           1,
,"24066 DESTRIANA",           1,
,"24067 ENCINEDO",           1,
,"24068 ERCINA (LA)",           1,
,"24070 FABERO",           2,
,"24071 FOLGOSO DE LA RIBERA",           1,
,"24073 FRESNO DE LA VEGA",           1,
,"24076 GARRAFE DE TORIO",           1,
,"24077 GORDALIZA DEL PINO",           1,
,"24078 GORDONCILLO",           1,
,"24079 GRADEFES",           1,
,"24080 GRAJAL DE CAMPOS",           1,
,"24082 HOSPITAL DE ORBIGO",           1,
,"24083 IGÜEÑA",           1,
,"24084 IZAGRE",           1,
,"24086 JOARILLA DE LAS MATAS",           1,
,"24087 LAGUNA DALGA",           1,
,"24088 LAGUNA DE NEGRILLOS",           1,
,"24089 LEON",          77,
,"24090 LUCILLO",           1,
,"24091 LUYEGO",           1,
,"24092 LLAMAS DE LA RIBERA",           1,
,"24093 MAGAZ DE CEPEDA",           1,
,"24094 MANSILLA DE LAS MULAS",           1,
,"24098 MATALLANA DE TORIO",           1,
,"24099 MATANZA",           1,
,"24100 MOLINASECA",           1,
,"24101 MURIAS DE PAREDES",           1,
,"24102 NOCEDA DEL BIERZO",           1,
,"24104 OMAÑAS (LAS)",           1,
,"24105 ONZONILLA",           1,
,"24106 OSEJA DE SAJAMBRE",           1,
,"24107 PAJARES DE LOS OTEROS",           1,
,"24108 PALACIOS DE LA VALDUERNA",           1,
,"24109 PALACIOS DEL SIL",           1,
,"24110 PARAMO DEL SIL",           1,
,"24113 POBLADURA DE PELAYO GARCIA",           1,
,"24114 POLA DE GORDON (LA)",           3,
,"24115 PONFERRADA",          24,
,"24116 POSADA DE VALDEON",           1,
,"24117 POZUELO DEL PARAMO",           1,
,"24119 PRIARANZA DEL BIERZO",           1,
,"24120 PRIORO",           1,
,"24121 PUEBLA DE LILLO",           1,
,"24122 PUENTE DE DOMINGO FLOREZ",           1,
,"24123 QUINTANA DEL CASTILLO",           1,
,"24124 QUINTANA DEL MARCO",           1,
,"24125 QUINTANA Y CONGOSTO",           1,
,"24127 REGUERAS DE ARRIBA",           1,
,"24130 RIAÑO",           1,
,"24131 RIEGO DE LA VEGA",           1,
,"24132 RIELLO",           1,
,"24133 RIOSECO DE TAPIA",           1,
,"24134 ROBLA (LA)",           1,
,"24136 ROPERUELOS DEL PARAMO",           1,
,"24137 SABERO",           1,
,"24139 SAHAGUN",           3,
,"24142 SAN ANDRES DEL RABANEDO",           6,
,"24143 SANCEDO",           1,
,"24144 SAN CRISTOBAL DE LA POLANTERA",           1,
,"24145 SAN EMILIANO",           1,
,"24146 SAN ESTEBAN DE NOGALES",           1,
,"24148 SAN JUSTO DE LA VEGA",           1,
,"24152 SANTA COLOMBA DE SOMOZA",           1,
,"24153 SANTA CRISTINA DE VALMADRIGAL",           1,
,"24154 SANTA ELENA DE JAMUZ",           1,
,"24155 SANTA MARIA DE LA ISLA",           1,
,"24157 SANTA MARIA DEL PARAMO",           2,
,"24158 SANTA MARIA DE ORDAS",           1,
,"24159 SANTA MARINA DEL REY",           1,
,"24160 SANTAS MARTAS",           1,
,"24162 SANTOVENIA DE LA VALDONCINA",           1,
,"24163 SARIEGOS",           1,
,"24165 SOBRADO",           1,
,"24166 SOTO DE LA VEGA",           1,
,"24167 SOTO Y AMIO",           1,
,"24168 TORAL DE LOS GUZMANES",           1,
,"24169 TORENO",           2,
,"24170 TORRE DEL BIERZO",           1,
,"24171 TRABADELO",           1,
,"24172 TRUCHAS",           1,
,"24173 TURCIA",           1,
,"24174 URDIALES DEL PARAMO",           1,
,"24175 VALDEFRESNO",           1,
,"24176 VALDEFUENTES DEL PARAMO",           1,
,"24180 VALDEPOLO",           1,
,"24181 VALDERAS",           1,
,"24182 VALDERREY",           1,
,"24183 VALDERRUEDA",           1,
,"24185 VAL DE SAN LORENZO",           1,
,"24187 VALDEVIMBRE",           1,
,"24188 VALENCIA DE DON JUAN",           2,
,"24189 VALVERDE DE LA VIRGEN",           1,
,"24193 VECILLA (LA)",           1,
,"24196 VEGA DE ESPINAREDA",           1,
,"24197 VEGA DE INFANZONES",           1,
,"24198 VEGA DE VALCARCE",           1,
,"24199 VEGAQUEMADA",           1,
,"24201 VEGAS DEL CONDADO",           1,
,"24202 VILLABLINO",           5,
,"24205 VILLADANGOS DEL PARAMO",           1,
,"24206 TORAL DE LOS VADOS",           1,
,"24207 VILLADEMOR DE LA VEGA",           1,
,"24209 VILLAFRANCA DEL BIERZO",           3,
,"24210 VILLAGATON",           1,
,"24211 VILLAMANDOS",           1,
,"24212 VILLAMAÑAN",           1,
,"24213 VILLAMARTIN DE DON SANCHO",           1,
,"24214 VILLAMEJIL",           1,
,"24216 VILLAMONTAN DE LA VALDUERNA",           1,
,"24218 VILLANUEVA DE LAS MANZANAS",           1,
,"24219 VILLAOBISPO DE OTERO",           1,
,"24221 VILLAQUEJIDA",           1,
,"24222 VILLAQUILAMBRE",           2,
,"24223 VILLAREJO DE ORBIGO",           2,
,"24224 VILLARES DE ORBIGO",           1,
,"24225 VILLASABARIEGO",           1,
,"24227 VILLATURIEL",           1,
,"24228 VILLAZALA",           1,
,"24229 VILLAZANZO DE VALDERADUEY",           1,
,"24230 ZOTES DEL PARAMO",           1,
,"24901 VILLAMANIN",           1,
,"24902 VILLAORNATE Y CASTRO",           1,
,"34004 AGUILAR DE CAMPOO",           3,
,"34005 ALAR DEL REY",           1,
,"34010 AMPUDIA",           1,
,"34011 AMUSCO",           1,
,"34012 ANTIGÜEDAD",           1,
,"34017 ASTUDILLO",           1,
,"34022 BALTANAS",           1,
,"34023 VENTA DE BAÑOS",           2,
,"34027 BARRUELO DE SANTULLAN",           1,
,"34029 BECERRIL DE CAMPOS",           1,
,"34037 BUENAVISTA DE VALDAVIA",           1,
,"34047 CARRION DE LOS CONDES",           2,
,"34049 CASTREJON DE LA PEÑA",           1,
,"34052 CASTRILLO DE VILLAVEGA",           1,
,"34055 CERVATOS DE LA CUEZA",           1,
,"34056 CERVERA DE PISUERGA",           2,
,"34057 CEVICO DE LA TORRE",           1,
