" Datos Básicos  - Campamentos de Turismo"
"Datos de: INDICADOR=CAMPAMENTOS DE TURISMO"
"FAMILIA INDICADOR",,"TURISMO",
"INDICADOR",,"CAMPAMENTOS DE TURISMO",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"24152 SANTA COLOMBA DE SOMOZA",           1,
,"24159 SANTA MARINA DEL REY",           1,
,"24164 SENA DE LUNA",           1,
,"24171 TRABADELO",           1,
,"24175 VALDEFRESNO",           1,
,"24179 VALDEPIELAGO",           1,
,"24188 VALENCIA DE DON JUAN",           1,
,"24193 VECILLA (LA)",           2,
,"24194 VEGACERVERA",           1,
,"24196 VEGA DE ESPINAREDA",           2,
,"24202 VILLABLINO",           1,
,"24205 VILLADANGOS DEL PARAMO",           1,
,"24209 VILLAFRANCA DEL BIERZO",           1,
,"24212 VILLAMAÑAN",           1,
,"24214 VILLAMEJIL",           1,
,"24223 VILLAREJO DE ORBIGO",           1,
,"34004 AGUILAR DE CAMPOO",           1,
,"34047 CARRION DE LOS CONDES",           1,
,"34056 CERVERA DE PISUERGA",           1,
,"34083 HERRERA DE PISUERGA",           1,
,"34157 SALDAÑA",           1,
,"37008 ALBA DE TORMES",           1,
,"37010 ALBERCA (LA)",           1,
,"37060 BUENAVISTA",           1,
,"37061 CABACO (EL)",           1,
,"37067 CABRERIZOS",           1,
,"37078 CANDELARIO",           1,
,"37107 CIUDAD RODRIGO",           1,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           1,
,"37155 GUIJO DE AVILA",           1,
,"37172 LINARES DE RIOFRIO",           1,
,"37193 MIRANDA DEL CASTAÑAR",           1,
,"37214 NAVA DE FRANCIA",           1,
,"37250 PEREÑA DE LA RIBERA",           1,
,"37287 SAN MIGUEL DE VALERO",           1,
,"37294 SANTA MARTA DE TORMES",           1,
,"37313 SOTOSERRANO",           1,
,"37316 TAMAMES",           1,
,"37362 VILLARES DE LA REINA",           2,
,"40040 CANTALEJO",           1,
,"40110 LASTRAS DE CUELLAR",           1,
,"40194 SEGOVIA",           2,
,"40206 TORRE VAL DE SAN PEDRO",           1,
,"42001 ABEJAR",           2,
,"42069 COVALEDA",           1,
,"42129 NAVALENO",           1,
,"42155 RETORTILLO DE SORIA",           1,
